excavation_unit,shellID,18Ovalue,season
22,ŽU_1_22_C2,1.38,Winter
22,ŽU_1_22_D1,1.66,Winter
22,ŽU_1_22_E1,1.25,Winter
22,ŽU_1_22_F1,-0.83,Summer
22,ŽU_1_22_G1,-0.69,Summer
22,ŽU_1_22_H1,-0.91,Summer
22,ŽU_1_22_I1,1.99,Winter
22,ŽU_1_22_J1,1.95,Winter
22,ŽU_1_22_J2,0.29,Summer
109,ŽU_2_109_A1,1.42,Winter
109,ŽU_2_109_A2,-0.51,Summer
109,ŽU_2_109_B1,1.98,Winter
109,ŽU_2_109_B2,0.15,Summer
109,ŽU_2_109_C1,2.28,Winter
109,ŽU_2_109_D1,-0.26,Summer
109,ŽU_2_109_D2,1.72,Winter
109,ŽU_2_109_E1,-0.04,Summer
109,ŽU_2_109_G1,-0.31,Summer
109,ŽU_2_109_G2,1.96,Winter
109,ŽU_2_109_H1,2.76,Winter
109,ŽU_2_109_H2,2.32,Winter
109,ŽU_2_109_I1,2.25,Winter
109,ŽU_2_109_J1,-0.36,Summer
107,ŽU_2_107_B1,1.85,Winter
107,ŽU_2_107_C1,2.19,Winter
107,ŽU_2_107_E1,1.89,Winter
107,ŽU_2_107_E2,0.14,Summer
107,ŽU_2_107_E3,2.37,Winter
107,ŽU_2_107_F1,1.65,Winter
107,ŽU_2_107_F2,0.24,Summer
107,ŽU_2_107_G1,-0.56,Summer
107,ŽU_2_107_H2,2.48,Winter
107,ŽU_2_107_I1,1.94,Winter
107,ŽU_2_107_I2,-0.59,Summer
107,ŽU_2_107_J1,0.07,Summer
20,ŽU_1_20_A3,1.21,Winter
20,ŽU_1_20_B1,1.79,Winter
20,ŽU_1_20_B2,1.46,Winter
20,ŽU_1_20_D1,1.9,Winter
20,ŽU_1_20_E1,1.89,Winter
20,ŽU_1_20_E2,0.79,Summer
19,ŽU_1_19_A1,1.74,Winter
19,ŽU_1_19_A2,0.38,Summer
19,ŽU_1_19_A3,2.12,Winter
19,ŽU_1_19_B1,-0.22,Summer
19,ŽU_1_19_B2,2.23,Winter
19,ŽU_1_19_C1,-0.04,Summer
19,ŽU_1_19_D1,1.67,Winter
19,ŽU_1_19_D2,-0.39,Summer
19,ŽU_1_19_E1,1.42,Winter
19,ŽU_1_19_E2,-0.09,Summer
19,ŽU_1_19_F2,-0.54,Summer
19,ŽU_1_19_I1,-0.33,Summer
19,ŽU_1_19_I3,2,Winter
19,ŽU_1_19_J1,2.37,Winter
19,ŽU_1_19_J2,-0.11,Summer
106,ŽU_2_106_A1,1.89,Winter
106,ŽU_2_106_A2,-0.63,Summer
106,ŽU_2_106_B1,0.28,Summer
106,ŽU_2_106_B2,2.18,Winter
106,ŽU_2_106_C1,2.19,Winter
106,ŽU_2_106_C2,-0.32,Summer
106,ŽU_2_106_D2,-1.14,Summer
106,ŽU_2_106_E1,-0.59,Summer
106,ŽU_2_106_E2,1.86,Winter
106,ŽU_2_106_F1,1.23,Winter
106,ŽU_2_106_F2,1.57,Winter
106,ŽU_2_106_H1,-0.31,Summer
106,ŽU_2_106_I1,-0.28,Summer
106,ŽU_2_106_I2,1.9,Winter
106,ŽU_2_106_J1,2.35,Winter
105,ŽU_2_105_B2,0.08,Summer
